productId,productName,productCategory,unitPrice,productStatus
1,Section,Furniture,26834.59,ACTIVE
2,Western,Sports,14694.26,ACTIVE
3,American,Grocery,18113.67,ACTIVE
4,Clear,Grocery,2338.93,ACTIVE
5,Care,Grocery,49261.81,ACTIVE
6,Within,Furniture,19037.3,ACTIVE
7,Well,Fashion,18273.37,ACTIVE
8,Off,Electronics,33525.25,ACTIVE
9,Perhaps,Grocery,8598.38,ACTIVE
10,During,Sports,19003.8,ACTIVE
11,House,Electronics,16247.92,ACTIVE
12,Compare,Fashion,1653.41,ACTIVE
13,Might,Sports,3356.12,ACTIVE
14,Media,Furniture,15768.16,ACTIVE
15,Agree,Furniture,45731.65,ACTIVE
16,Describe,Sports,7024.53,ACTIVE
17,Spend,Furniture,37363.34,ACTIVE
18,Evidence,Grocery,20000.06,INACTIVE
19,Image,Furniture,6959.67,ACTIVE
20,Represent,Electronics,2403.46,ACTIVE
21,Close,Furniture,8041.1,ACTIVE
22,Thus,Sports,19269.13,INACTIVE
23,Skin,Sports,26479.26,ACTIVE
24,Able,Electronics,623.48,ACTIVE
25,Anyone,Fashion,26871.67,ACTIVE
26,Rule,Fashion,17041.76,ACTIVE
27,Quite,Fashion,22713.5,INACTIVE
28,Picture,Sports,38110.01,INACTIVE
29,Final,Fashion,43532.4,ACTIVE
30,Model,Grocery,25407.76,ACTIVE
31,Get,Sports,38137.41,INACTIVE
32,Push,Electronics,46125.58,ACTIVE
33,Community,Electronics,24455.86,INACTIVE
34,Data,Fashion,43942.16,ACTIVE
35,Almost,Sports,12081.54,INACTIVE
36,City,Furniture,4328.39,ACTIVE
37,Easy,Sports,48900.33,ACTIVE
38,Group,Furniture,6463.15,INACTIVE
39,Summer,Sports,8298.09,ACTIVE
40,Or,Grocery,21185.74,INACTIVE
41,Down,Grocery,37775.5,ACTIVE
42,List,Fashion,19979.67,ACTIVE
43,Station,Electronics,25902.91,ACTIVE
44,Any,Electronics,3248.09,ACTIVE
45,Upon,Grocery,-100.0,ACTIVE
46,Study,Electronics,35406.66,ACTIVE
